"photo","sm_days","vpd_days","AICc","deltaAICc","weight","BIC","logLik","RMSE","RMSE_perf","R2_marg","R2_cond","ICC","nobs","convergence","formula","sm_days_factor","vpd_days_factor"
"c3",3,1,-972.462,47.513,0,-946.535,493.413,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd01 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","1"
"c3",10,15,-972.462,47.513,0,-946.535,493.413,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd15 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","15"
"c3",10,4,-972.46,47.514,0,-946.534,493.412,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd04 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","4"
"c3",3,6,-972.46,47.515,0,-946.533,493.412,0.044,0.044,0.062,0.542,0.511,316,"OK","vpd06 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","6"
"c3",10,1,-972.457,47.517,0,-946.531,493.41,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd01 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","1"
"c3",10,6,-972.457,47.517,0,-946.53,493.41,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd06 + (wn10_perc * soil.no3n) + (1 | NCRS.code)","10","6"
"c3",3,15,-972.438,47.536,0,-946.512,493.401,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd15 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","15"
"c3",6,2,-972.42,47.554,0,-946.494,493.392,0.044,0.044,0.063,0.541,0.51,316,"OK","vpd02 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","2"
"c3",3,5,-972.414,47.561,0,-946.487,493.389,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd05 + (wn03_perc * soil.no3n) + (1 | NCRS.code)","3","5"
"c3",6,8,-972.398,47.577,0,-946.471,493.381,0.044,0.044,0.063,0.542,0.512,316,"OK","vpd08 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","8"
"c3",6,7,-972.383,47.591,0,-946.457,493.373,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd07 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","7"
"c3",6,4,-972.351,47.623,0,-946.425,493.357,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd04 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","4"
"c3",6,15,-972.331,47.643,0,-946.405,493.348,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd15 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","15"
"c3",6,6,-972.326,47.648,0,-946.4,493.345,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd06 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","6"
"c3",20,20,-972.325,47.649,0,-946.398,493.344,0.044,0.044,0.057,0.542,0.515,316,"OK","vpd20 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","20"
"c3",6,1,-972.318,47.656,0,-946.392,493.341,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd01 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","1"
"c3",6,5,-972.31,47.664,0,-946.384,493.337,0.044,0.044,0.063,0.542,0.511,316,"OK","vpd05 + (wn06_perc * soil.no3n) + (1 | NCRS.code)","6","5"
"c3",9,9,-972.178,47.797,0,-946.251,493.271,0.044,0.044,0.062,0.542,0.512,316,"OK","vpd09 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","9"
"c3",15,3,-972.138,47.836,0,-946.211,493.251,0.044,0.044,0.056,0.543,0.516,316,"OK","vpd03 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","3"
"c3",9,2,-972.074,47.9,0,-946.148,493.219,0.044,0.044,0.062,0.54,0.51,316,"OK","vpd02 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","2"
"c3",15,10,-972.073,47.901,0,-946.146,493.218,0.044,0.044,0.056,0.544,0.517,316,"OK","vpd10 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","10"
"c3",9,8,-972.035,47.939,0,-946.108,493.199,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd08 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","8"
"c3",9,7,-972.026,47.948,0,-946.1,493.195,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd07 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","7"
"c3",7,9,-972.022,47.952,0,-946.096,493.193,0.044,0.044,0.061,0.543,0.513,316,"OK","vpd09 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","9"
"c3",9,4,-972.01,47.965,0,-946.083,493.187,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd04 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","4"
"c3",9,5,-972.008,47.966,0,-946.082,493.186,0.044,0.044,0.062,0.541,0.51,316,"OK","vpd05 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","5"
"c3",9,15,-972.004,47.97,0,-946.077,493.184,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd15 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","15"
"c3",9,6,-971.997,47.977,0,-946.071,493.18,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd06 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","6"
"c3",9,1,-971.996,47.978,0,-946.07,493.18,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd01 + (wn09_perc * soil.no3n) + (1 | NCRS.code)","9","1"
"c3",8,9,-971.979,47.995,0,-946.053,493.171,0.044,0.044,0.061,0.542,0.513,316,"OK","vpd09 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","9"
"c3",7,2,-971.885,48.089,0,-945.959,493.125,0.044,0.044,0.061,0.541,0.511,316,"OK","vpd02 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","2"
"c3",7,8,-971.864,48.111,0,-945.937,493.114,0.044,0.044,0.061,0.542,0.512,316,"OK","vpd08 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","8"
"c3",8,2,-971.863,48.111,0,-945.936,493.113,0.044,0.044,0.061,0.541,0.511,316,"OK","vpd02 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","2"
"c3",7,7,-971.852,48.123,0,-945.925,493.108,0.044,0.044,0.061,0.542,0.512,316,"OK","vpd07 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","7"
"c3",8,8,-971.827,48.147,0,-945.901,493.095,0.044,0.044,0.061,0.542,0.512,316,"OK","vpd08 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","8"
"c3",7,4,-971.824,48.15,0,-945.898,493.094,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd04 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","4"
"c3",8,7,-971.817,48.157,0,-945.891,493.09,0.044,0.044,0.061,0.542,0.512,316,"OK","vpd07 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","7"
"c3",7,15,-971.814,48.16,0,-945.887,493.089,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd15 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","15"
"c3",7,5,-971.81,48.165,0,-945.883,493.087,0.044,0.044,0.062,0.541,0.511,316,"OK","vpd05 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","5"
"c3",7,6,-971.808,48.166,0,-945.882,493.086,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd06 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","6"
"c3",7,1,-971.805,48.169,0,-945.878,493.084,0.044,0.044,0.061,0.541,0.511,316,"OK","vpd01 + (wn07_perc * soil.no3n) + (1 | NCRS.code)","7","1"
"c3",8,4,-971.797,48.177,0,-945.87,493.08,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd04 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","4"
"c3",15,5,-971.795,48.179,0,-945.869,493.079,0.044,0.044,0.059,0.541,0.513,316,"OK","vpd05 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","5"
"c3",8,15,-971.785,48.19,0,-945.858,493.074,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd15 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","15"
"c3",8,5,-971.783,48.191,0,-945.856,493.073,0.044,0.044,0.061,0.541,0.511,316,"OK","vpd05 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","5"
"c3",8,6,-971.779,48.195,0,-945.853,493.071,0.044,0.044,0.061,0.541,0.512,316,"OK","vpd06 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","6"
"c3",8,1,-971.776,48.198,0,-945.85,493.07,0.044,0.044,0.061,0.541,0.511,316,"OK","vpd01 + (wn08_perc * soil.no3n) + (1 | NCRS.code)","8","1"
"c3",15,6,-971.564,48.41,0,-945.638,492.964,0.044,0.044,0.058,0.541,0.513,316,"OK","vpd06 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","6"
"c3",15,4,-971.494,48.48,0,-945.567,492.929,0.044,0.044,0.057,0.542,0.514,316,"OK","vpd04 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","4"
"c3",15,1,-971.443,48.532,0,-945.516,492.903,0.044,0.044,0.057,0.542,0.514,316,"OK","vpd01 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","1"
"c3",15,7,-971.436,48.538,0,-945.509,492.9,0.044,0.044,0.057,0.542,0.514,316,"OK","vpd07 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","7"
"c3",30,5,-971.398,48.577,0,-945.471,492.881,0.044,0.044,0.055,0.544,0.517,316,"OK","vpd05 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","5"
"c3",15,8,-971.398,48.576,0,-945.472,492.881,0.044,0.044,0.057,0.542,0.514,316,"OK","vpd08 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","8"
"c3",15,15,-971.394,48.58,0,-945.467,492.879,0.044,0.044,0.056,0.542,0.515,316,"OK","vpd15 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","15"
"c3",15,2,-971.326,48.648,0,-945.4,492.845,0.044,0.044,0.056,0.543,0.516,316,"OK","vpd02 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","2"
"c3",15,9,-971.301,48.674,0,-945.374,492.832,0.044,0.044,0.056,0.542,0.515,316,"OK","vpd09 + (wn15_perc * soil.no3n) + (1 | NCRS.code)","15","9"
"c3",30,6,-971.155,48.819,0,-945.228,492.759,0.044,0.044,0.053,0.543,0.518,316,"OK","vpd06 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","6"
"c3",30,1,-970.997,48.977,0,-945.071,492.681,0.044,0.044,0.052,0.545,0.52,316,"OK","vpd01 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","1"
"c3",30,7,-970.984,48.99,0,-945.057,492.674,0.044,0.044,0.053,0.544,0.519,316,"OK","vpd07 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","7"
"c3",30,4,-970.975,49,0,-945.048,492.669,0.044,0.044,0.052,0.545,0.52,316,"OK","vpd04 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","4"
"c3",30,2,-970.911,49.063,0,-944.985,492.637,0.044,0.044,0.052,0.547,0.522,316,"OK","vpd02 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","2"
"c3",30,8,-970.89,49.084,0,-944.963,492.627,0.044,0.044,0.052,0.544,0.519,316,"OK","vpd08 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","8"
"c3",30,3,-970.886,49.088,0,-944.959,492.625,0.044,0.044,0.05,0.548,0.524,316,"OK","vpd03 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","3"
"c3",30,10,-970.885,49.089,0,-944.959,492.624,0.044,0.044,0.05,0.548,0.525,316,"OK","vpd10 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","10"
"c3",30,15,-970.879,49.095,0,-944.953,492.622,0.044,0.044,0.052,0.545,0.52,316,"OK","vpd15 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","15"
"c3",20,5,-970.697,49.277,0,-944.77,492.53,0.044,0.044,0.054,0.542,0.516,316,"OK","vpd05 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","5"
"c3",30,9,-970.691,49.283,0,-944.765,492.527,0.044,0.044,0.051,0.545,0.521,316,"OK","vpd09 + (wn30_perc * soil.no3n) + (1 | NCRS.code)","30","9"
"c3",20,3,-970.549,49.426,0,-944.622,492.456,0.044,0.044,0.05,0.545,0.521,316,"OK","vpd03 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","3"
"c3",20,10,-970.484,49.49,0,-944.558,492.424,0.044,0.044,0.05,0.546,0.522,316,"OK","vpd10 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","10"
"c3",20,6,-970.425,49.549,0,-944.499,492.394,0.044,0.044,0.053,0.542,0.517,316,"OK","vpd06 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","6"
"c3",20,4,-970.251,49.723,0,-944.324,492.307,0.044,0.044,0.052,0.543,0.519,316,"OK","vpd04 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","4"
"c3",20,7,-970.234,49.74,0,-944.307,492.299,0.044,0.044,0.052,0.543,0.518,316,"OK","vpd07 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","7"
"c3",20,1,-970.203,49.771,0,-944.276,492.283,0.044,0.044,0.051,0.543,0.519,316,"OK","vpd01 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","1"
"c3",20,15,-970.172,49.803,0,-944.245,492.268,0.044,0.044,0.051,0.543,0.519,316,"OK","vpd15 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","15"
"c3",20,8,-970.154,49.82,0,-944.228,492.259,0.044,0.044,0.051,0.543,0.518,316,"OK","vpd08 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","8"
"c3",20,2,-970.068,49.906,0,-944.141,492.216,0.044,0.044,0.051,0.545,0.52,316,"OK","vpd02 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","2"
"c3",20,9,-969.982,49.992,0,-944.056,492.173,0.044,0.044,0.05,0.544,0.519,316,"OK","vpd09 + (wn20_perc * soil.no3n) + (1 | NCRS.code)","20","9"
